Project,Client,Description,Duration
SOS2223-15,,#11 Comprobar clonado de git,01:20:17
SOS2223-15,,#12 Añadir filas a ficha de trabajo compartida con los profesores.,00:15:04
SOS2223-15,,#13 Trabajar con archivo indexYYY.js que contenga el código de una aplicación en nodejs.,01:59:44
SOS2223-15,,#14 Registrar información en el repositorio común de la asignatura,00:15:41
SOS2223-15,,#15 Cuenta de Postman,00:17:08
SOS2223-15,,#16 Verificar que la pestaña individual de la ficha de trabajo compartida con los profesores cumple los requisitos,00:16:49
SOS2223-15,,#17 Crear archivo index-AMR.js en el repositorio de nuestro grupo (15),02:11:18
SOS2223-15,,#18 Have a file named “index-YYY.js” in the SOS2223-XX repository,01:09:36
SOS2223-15,,#19 have a nodejs module that contains the main file “index.js”,01:05:23
SOS2223-15,,#20 Have read the news in piazza.,00:33:42
SOS2223-15,,#21 Hours registered in toggl.,01:22:23
SOS2223-15,,#22 Replicate the algorithm from the file named “index-YYY.js”,11:26:11
SOS2223-15,,#23 Create 3 issues in the repository,00:15:56
SOS2223-15,,#24 Have at least 3 dedicated hours logged in Toggle,00:22:07
SOS2223-15,,#25 Check the local repository to see if it is up to date.,00:23:00
SOS2223-15,,#26 Check that the previous lab tasks are done correctly.,00:15:14
SOS2223-15,,#27 Replicate the index-AMR.js  code in the common file index.js,02:39:53
SOS2223-15,,#28 Have a functional REST API deployed in Google Cloud offering your data source,01:02:37
SOS2223-15,,#29 The resource must contain a path /api/v1/FFFFF/loadInitialData,01:03:39
SOS2223-15,,#30 The resource name (FFFFF) must meet the following restrictions,01:30:10
SOS2223-15,,#31 Deploy google cloud in API REST.,108:48:06
SOS2223-15,,#34 Follow the patterns especified in the backlog,00:52:17
SOS2223-15,,#35 Develop Postman calls collection,00:24:30
SOS2223-15,,#36 Follow the patterns especified in the backlog,00:16:15
SOS2223-15,,#37 Completar el registro información en el repositorio común.,03:30:19
SOS2223-15,,#38 Comprobar que todas las APIs funcionan bien.,04:47:15
SOS2223-15,,#40 The API must implement searches,00:46:41
SOS2223-15,,#41 Redirect to Postman,00:51:42
SOS2223-15,,#42 Clean the code,00:31:40
SOS2223-15,,#43 The API must implement searches for all the fields of the resource,02:12:59
SOS2223-15,,#44 The API must implement pagination,00:15:33
SOS2223-15,,#45 The project must contain a path /api/v1/FFFFF/docs,00:29:07
SOS2223-15,,#46 Persistencia NeDB.,00:35:06
SOS2223-15,,#49 Extend the collection of POSTMAN calls,00:47:13
SOS2223-15,,#50 The API can only receive and send data in JSON,01:13:46
SOS2223-15,,#51 The _id property should not be received or sent,03:45:48
SOS2223-15,,#52 Extender la colección de llamadas de POSTMAN,01:45:23
SOS2223-15,,#53 Revisar los identificadores de recursos,00:33:40
SOS2223-15,,#54 Revisar que la API sólo recibe y envía datos en JSON,01:58:33
SOS2223-15,,#57 Front-end Svelte,67:37:08
SOS2223-15,,"#58 Todos los elementos de la interfaz, deben ser comprensibles por usuarios no técnicos",29:04:19
SOS2223-15,,#59 El frontend debe mostrar al usuario un mensaje informativo del estado de la operación realizada,02:18:34
SOS2223-15,,#6 Creating an issue,00:16:58
SOS2223-15,,#60 Tener un back-end basado en API REST,01:15:13
SOS2223-15,,#61 Front-end Svelte,01:06:10
SOS2223-15,,#62 Tener todos los elementos de la interfaz,00:41:52
SOS2223-15,,#64 Una forma de buscar recursos utilizando la búsqueda que proporciona la API,00:34:34
SOS2223-15,,#65 Una forma de paginar el listado de recursos usando el mecanismo que proporciona la api,00:16:08
SOS2223-15,,#66 El frontend debe recargar de manera automatizada los datos que se muestran en caso de ser necesario,09:42:02
SOS2223-15,,#67 vídeo comentando todas las funcionalidades y aspectos del entregable D03,01:20:18
SOS2223-15,,#68 conjunto de visualizaciones de los recursos de su API,02:30:04
SOS2223-15,,#69 conjunto de usos o integraciones,02:46:43
SOS2223-15,,#70 Usos e integraciones,04:44:53
SOS2223-15,,#71 Gráfica individual,03:54:16
SOS2223-15,,#8 Having successfully cloned the repository,00:26:21
SOS2223-15,,#9 Have the group repository synchronized,00:44:42
SOS2223-15,,Develop Postman calls collection Develop Postman calls collection,00:38:09
SOS2223-15,,Functional API REST deployed Functional API REST deployed,02:02:47
SOS2223-15,,Implement Nedb,02:02:13
SOS2223-15,,Issue para feedback.,00:19:57
SOS2223-15,,Timer para F03,00:07:08
SOS2223-15,,,00:00:02
,,#10 Verify individual job ticket tab,00:24:30
,,#15 Cuenta de Postman,00:00:19
,,#27 Replicate the index-AMR.js  code in the common file index.js,00:00:18
,,#3 Registrar información en el repositorio común,00:11:14
,,#71 Gráfica individual,00:00:03
,,#8 Having successfully cloned the repository,00:22:41
,,Cambios del D03,06:15:00
,,Frontend,03:30:00
,,Graficas e integraciones,23:15:00
,,Graficas y cambios,03:00:00
,,,00:30:15
